Model Name,Category,Parameters,Context Window,VRAM (4-bit),VRAM (8-bit),Best For,Hub Link,License
Llama 3.3 70B Instruct,LLM,70B,128k,40GB,75GB,High-quality chat / agents,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,Llama 3.3
DeepSeek-R1,LLM,671B,128k,370GB+,740GB+,Complex reasoning,https://huggingface.co/deepseek-ai/DeepSeek-R1,MIT
DeepSeek-V3,LLM,671B / 37B active,128k,90GB,180GB,Efficient reasoning,https://huggingface.co/deepseek-ai/DeepSeek-V3,DeepSeek
Qwen3,LLM,235B / 22B active,128k,125GB+,250GB+,Multilingual / long-context,https://huggingface.co/Qwen/Qwen3,Apache-2.0
Mixtral 8x22B,LLM,141B / 44B active,64k,73GB,150GB,Reasoning,https://huggingface.co/mistralai/Mixtral-8x22B,Apache-2.0
Gemma 3 4B,LLM,4B,32k,2GB,4GB,Mobile / edge deployment,https://huggingface.co/google/gemma-3-4b-it,Gemma
Qwen2.5 7B,LLM,7B,32k,4GB,8GB,Mobile friendly,https://huggingface.co/Qwen/Qwen2.5-7B,Apache-2.0
Llama 3.2 1B,LLM,1B,8k,1GB,2GB,Ultra-lightweight,https://huggingface.co/meta-llama/Llama-3.2-1B,Llama 3.2
all-MiniLM-L6-v2,Embeddings,22.7M,256 tokens,<1GB,<1GB,Semantic search / similarity,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache-2.0
all-mpnet-base-v2,Embeddings,110M,384 tokens,<1GB,<1GB,High-quality embeddings,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,Apache-2.0
multilingual-e5-large,Embeddings,560M,512 tokens,1GB,2GB,100+ languages support,https://huggingface.co/intfloat/multilingual-e5-large,MIT
sentence-t5-large,Embeddings,330M,256 tokens,<1GB,1GB,Sentence similarity,https://huggingface.co/sentence-transformers/sentence-t5-large,Apache-2.0
google/vit-base-patch16-224,Vision,86M,1 image,<1GB,<1GB,Image classification,https://huggingface.co/google/vit-base-patch16-224,Apache-2.0
facebook/convnext-tiny-224,Vision,28.6M,1 image,<1GB,<1GB,Efficient classification,https://huggingface.co/facebook/convnext-tiny-224,Apache-2.0
